Prefix               ; Length ; Type       ; Tariff        ; Area Code Length ; National Only ; Operator                    ; Format          ; Timezone                                              ; Regions    ; Geocode:en                                                                                                                                                                              ; Provenance ; Comment
13                   ; 6      ; FIXED_LINE ; SHARED_COST   ;                  ; true          ;                             ; "varcost_2/2/2" ; "Australia/Sydney"                                    ; "AU,CC,CX"
1300                 ; 10     ; FIXED_LINE ; SHARED_COST   ;                  ; true          ;                             ; "varcost_4/3/3" ; "Australia/Sydney"                                    ; "AU,CC,CX" ;                                                                                                                                                                                         ; GOVERNMENT
1300                 ; 12     ; FIXED_LINE ; SHARED_COST   ;                  ; true          ;                             ; "varcost_4/4/4" ; "Australia/Sydney"                                    ; "AU,CC,CX"
1345[0-4]            ; 8      ; FIXED_LINE ; SHARED_COST   ;                  ; true          ;                             ;                 ; "Australia/Sydney"                                    ; "AU,CC,CX" ;                                                                                                                                                                                         ; GOVERNMENT
14510                ; 9      ; VOIP       ; STANDARD_RATE ;                  ; false         ;                             ; "mobile_3/3/3"  ; "Australia/Sydney"                                    ; "AU,CC,CX"
1451[458]            ; 9      ; VOIP       ; STANDARD_RATE ;                  ; false         ;                             ; "mobile_3/3/3"  ; "Australia/Sydney"                                    ; "AU,CC,CX" ;                                                                                                                                                                                         ; IR21
145[23]4             ; 9      ; VOIP       ; STANDARD_RATE ;                  ; false         ;                             ; "mobile_3/3/3"  ; "Australia/Sydney"                                    ; "AU,CC,CX"
145[23]5             ; 9      ; VOIP       ; STANDARD_RATE ;                  ; false         ;                             ; "mobile_3/3/3"  ; "Australia/Sydney"                                    ; "AU,CC,CX" ;                                                                                                                                                                                         ; IR21
145[23]8             ; 9      ; VOIP       ; STANDARD_RATE ;                  ; false         ;                             ; "mobile_3/3/3"  ; "Australia/Sydney"                                    ; "AU,CC,CX" ;                                                                                                                                                                                         ; GOVERNMENT
1471                 ; 9      ; VOIP       ; STANDARD_RATE ;                  ; false         ;                             ; "mobile_3/3/3"  ; "Australia/Sydney"                                    ; "AU,CC,CX" ;                                                                                                                                                                                         ; GOVERNMENT
163                  ; 5,6    ; PAGER      ; STANDARD_RATE ;                  ; false         ;                             ; "pager_2/3-4"   ; "Australia/Sydney"                                    ; "AU"       ;                                                                                                                                                                                         ; GOVERNMENT
163                  ; 7-9    ; PAGER      ; STANDARD_RATE ;                  ; false         ;                             ; "pager_2/3/2-4" ; "Australia/Sydney"                                    ; "AU"       ;                                                                                                                                                                                         ; GOVERNMENT
